OBJECTID,Facility Status,Facility Name,CAD Name,AKA,Facility Type,Unit (Firescope three letter identifier),CALFIRE Unit,County,Owner,Funding,Staffing,Address,City,ZIP,Phone (xxx-xxx-xxxx),Latitude,Longitude,GlobalID,x,y
1,Active,East Peak,TMU-T2,,COM,XTB,,,,,,,,,,38.9422633636061,-119.907287502096,f7721c12-0001-4694-b347-d614a9994d30,8028.27309999987,102926.148800001
2,Active,Mount Rose,No CAD name Entered,NEU East Tone 8,COM,NEU,,,STATE,B,,,(NV),89511,,39.3449508787062,-119.920963589634,4e9654de-4ff1-4fb1-a05d-a27119d6fdd0,6806.70809999853,147679.1876
3,Active,Orleans Mountain COM,HUU Orleans Mountain COM,HCFN T6,COM,HUU,,Siskiyou,COUNTY,,,5 Miles East Of Orleans,Orleans,95556,,41.2789279437771,-123.453384647656,c50229d0-ed8a-4e18-abd2-c31d0744af25,-289521.103599999,367728.1296
4,Active,Saratoga Summit FS,CZU Saratoga Summit FS,Station 21,FSB,CZU,,Santa Clara,STATE,B,P,12900 Skyline Blvd,Los Gatos,95030,408-867-3625,37.2609030566215,-122.131958884501,0927b011-ce4c-4a2f-837c-8bc9cb4e218e,-188799.020099999,-81858.2640000004
5,Active,Shell Beach FS,SLU Shell Beach Stn,#63,FSAB,SLU,,San Luis Obispo,CITY,C,P,2555 Shell Beach Road,Pismo Beach,93449,805-773-7051,35.1622210127627,-120.684409353657,a2f6b090-8581-4991-8762-7ef3c6f2fab0,-62296.1442999989,-316950.4996
6,Active,Snow Valley,NEU T9,,COM,XTB,,,FIRE DISTRICT,L,,,,,,39.1542545811968,-119.883303166196,a49fdcb4-0c2c-48c5-8c91-19c3f18cb578,10076.1519999988,126489.7381
7,Active,Alder Ridge,ENF Tone 1,XED CMD Tone 1,COM,AEU,AEU,El Dorado,,,,,,,,38.7443144271071,-120.340780675625,464945ce-6433-48a6-af69-87de442e9a35,-29588.3194000013,80973.2597000003
8,Active,Amador-El Dorado ICC,AEU Amador-El Dorado ICC,,ICC,AEU,AEU,El Dorado,STATE,B,P,2840 Mt. Danaher Rd.,Camino,95709,530-647-5223,38.7442781658509,-120.66835056411,d24de798-6a63-45b7-b692-275ca6a963b9,-58029.2835000008,81120.5917000007
9,Active,Amador-El Dorado UH,AEU Amador-El Dorado UH,,HQ,AEU,AEU,El Dorado,STATE,B,P,2840 Mt. Danaher Rd.,Camino,95709,530-644-2345,38.7442901251359,-120.667135399684,004d6bfb-f1d5-401f-9b92-a0d1f03cc4b5,-57923.7696999982,81121.1778999995
10,Active,Aviation Management Unit,AMU,AMU,ADM,CDF,AEU,Sacramento,STATE,B,P,"5500 Price Avenue, Mcclellan, Ca 95652",McClellan,95652,916-561-3333,38.666483237595,-121.39301349467,b19f2c2e-eae3-4964-b9ed-621281a90dcb,-121070.430300001,73157.6399000008
11,Active,Bald Mountain,ENF Tone 3,XED CMD Tone 3,COM,AEU,AEU,El Dorado,,,,10260 Wentworth Springs Rd,Georgetown,95634,,38.9038699693551,-120.704879742788,f7677e36-f631-4322-96a1-22fc3cf8bc41,-61068.9756999984,98881.8991999999
12,Active,Ben Bolt,AEU Local Tone 6,XED CMD Tone 13,COM,AEU,AEU,El Dorado,COUNTY,,,6170 Latrobe Rd,Shingle Springs,95682,,38.5879944465582,-121.025037398928,03a8b698-a5f3-4a3b-865b-506337a619c0,-89185.3007000014,64026.2968000006
